302	0.00163
302.25	0.00095
302.5	0.00105
302.75	0.00069
303	0.00224
303.25	0.00034
303.5	0.0022
303.75	0.00205
304	0.00041
304.25	0.001
304.5	0.00062
304.75	0.00008
305	0.00082
305.25	0.00068
305.5	0.0005
305.75	0.00111
306	0.00127
306.25	0.00028
306.5	0.00286
306.75	0.00216
307	0.00192
307.25	0.00049
307.5	0.00203
307.75	0.00226
308	0.00009
308.25	0.00118
308.5	0.00153
308.75	0.00132
309	0.00113
309.25	0.00079
309.5	0.00033
309.75	0.00683
310	0.00546
310.25	0.00036
310.5	0.00228
310.75	0.00369
311	0.00195
311.25	0.00454
311.5	0.00325
311.75	0.00015
312	0.00408
312.25	0.00255
312.5	0.00581
312.75	0.00039
313	0.00269
313.25	0.00328
313.5	0.00249
313.75	0.00615
314	0.00009
314.25	0.00007
314.5	0.00462
314.75	0.00143
315	0.00557
315.25	0.00095
315.5	0.00234
315.75	0.00142
316	0.00324
316.25	0.00076
316.5	0.00261
316.75	0.00343
317	0.00196
317.25	0.00199
317.5	0.00143
317.75	0.00135
318	0.00799
318.25	0.00442
318.5	0.00281
318.75	0.00088
319	0.00029
319.25	0.00691
319.5	0.00286
319.75	0.0002
320	0.00141
320.25	0.00063
320.5	0.00026
320.75	0.00855
321	0.00186
321.25	0.00106
321.5	0.00033
321.75	0.00148
322	0.00303
322.25	0.00265
322.5	0.00048
322.75	0.0027
323	0.00459
323.25	0.00205
323.5	0.00098
323.75	0.00076
324	0.00362
324.25	0.00083
324.5	0.0053
324.75	0.00017
325	0.00293
325.25	0.00181
325.5	0.00536
325.75	0.00482
326	0.00466
326.25	0.00191
326.5	0.00021
326.75	0.00054
327	0.00131
327.25	0.00168
327.5	0.00827
327.75	0.00052
328	0.0014
328.25	0.00329
328.5	0.00058
328.75	0.009
329	0.00267
329.25	0.00019
329.5	0.00259
329.75	0.00266
330	0.00046
330.25	0.00798
330.5	0.00171
330.75	0.00267
331	0.00438
331.25	0.00201
331.5	0.00033
331.75	0.00029
332	0.00423
332.25	0.0009
332.5	0.0028
332.75	0.00165
333	0.00231
333.25	0.00051
333.5	0.00328
333.75	0.0005
334	0.00263
334.25	0.00081
334.5	0.0009
334.75	0.00166
335	0.00107
335.25	0.00055
335.5	0.00023
335.75	0.00385
336	0.00005
336.25	0.00231
336.5	0.00124
336.75	0.00099
337	0.00094
337.25	0.00159
337.5	0.00193
337.75	0.00033
338	0.00024
338.25	0.00093
338.5	0.00126
338.75	0.00288
339	0.00154
339.25	0.00195
339.5	0.00186
339.75	0.00089
340	0.00199
340.25	0.00333
340.5	0.00026
340.75	0.00314
341	0.00143
341.25	0.0032
341.5	0.00584
341.75	0.00026
342	0.00124
342.25	0.00276
342.5	0.00119
342.75	0.00041
343	0.0001
343.25	0.0002
343.5	0.00064
343.75	0.00056
344	0.00404
344.25	0.00038
344.5	0.00638
344.75	0.00036
345	0.00246
345.25	0.00391
345.5	0.00323
345.75	0.00145
346	0.00265
346.25	0.00157
346.5	0.00006
346.75	0.00061
347	0.00094
347.25	0.00337
347.5	0.00403
347.75	0.00079
348	0.00385
348.25	0.0041
348.5	0.00039
348.75	0.00254
349	0.00098
349.25	0.00048
349.5	0.00055
349.75	0.00164
350	0.00251
